ensayo mejor peor media sdt mediana
1 6.411132e+03 1.307358e+27 2.670873e+25 1.608773e+26 6.411696e+03
2 7.546740e+03 2.292919e+27 2.404349e+25 2.294499e+26 7.546740e+03
3 6.529247e+03 1.221255e+27 2.393377e+25 1.442329e+26 6.530525e+03
4 6.424872e+03 2.857681e+27 6.126797e+25 3.330755e+26 6.424872e+03
5 6.411123e+03 1.597355e+27 1.873026e+25 1.601141e+26 6.411123e+03
6 6.091224e+03 2.031365e+27 3.501263e+25 2.279941e+26 6.091224e+03
7 6.091221e+03 5.701198e+26 7.237300e+24 5.887589e+25 6.091221e+03
8 6.485613e+03 3.021346e+26 3.625471e+24 3.055632e+25 6.486244e+03
9 6.772842e+03 2.116338e+27 3.790958e+25 2.325965e+26 6.773141e+03
10 6.821887e+03 3.099667e+27 3.219266e+25 3.099703e+26 6.821893e+03
